"","Description","Ortholog","Adjusted.Pval"
"487","cytoplasmic vesicle","N.castellii.B",1
"488","cytoplasmic vesicle membrane","N.castellii.B",1
"489","cytoskeleton","N.castellii.B",0.00527235756094942
"490","endocytic patch","N.castellii.B",7.45497463513428e-06
"491","intracellular vesicle","N.castellii.B",1
"492","mating projection","N.castellii.B",0.00193326724788199
"493","mating projection tip","N.castellii.B",0.00178082521596623
"494","membrane coat","N.castellii.B",1
"495","membrane microdomain","N.castellii.B",1
"496","membrane raft","N.castellii.B",1
"497","plasma membrane bounded cell projection","N.castellii.B",0.00193326724788199
"498","plasma membrane protein complex","N.castellii.B",0.0190682193120046
"499","polysome","N.castellii.B",0.0388008376579295
"500","proton-transporting V-type ATPase complex","N.castellii.B",0.011313307067113
"501","proton-transporting two-sector ATPase complex","N.castellii.B",0.0393972621331232
"502","ribonucleoprotein granule","N.castellii.B",1
"503","septin cytoskeleton","N.castellii.B",1
"504","septin ring","N.castellii.B",1
"505","side of membrane","N.castellii.B",1
"506","site of polarized growth","N.castellii.B",0.00691292178881269
"507","spliceosomal tri-snRNP complex","N.castellii.B",1
"508","transport vesicle membrane","N.castellii.B",1
"509","vacuolar proton-transporting V-type ATPase complex","N.castellii.B",0.011313307067113
"510","vesicle","N.castellii.B",1
"511","vesicle coat","N.castellii.B",1
"512","vesicle membrane","N.castellii.B",1
"513","vesicle tethering complex","N.castellii.B",0.000574883868006632
"514","COPI-coated vesicle","V.polyspora.A",1
"515","COPI-coated vesicle membrane","V.polyspora.A",1
"516","Golgi apparatus","V.polyspora.A",1
"517","Golgi membrane","V.polyspora.A",1
"518","Golgi-associated vesicle","V.polyspora.A",1
"519","Golgi-associated vesicle membrane","V.polyspora.A",1
"520","P-body","V.polyspora.A",1
"521","U4/U6 x U5 tri-snRNP complex","V.polyspora.A",1
"522","U6 snRNP","V.polyspora.A",1
"523","actin cortical patch","V.polyspora.A",4.73429871051326e-08
"524","actin cytoskeleton","V.polyspora.A",3.92563599365831e-09
"525","actin filament","V.polyspora.A",0.0135547018012936
"526","cell cortex","V.polyspora.A",2.73549359396713e-06
"527","cell division site","V.polyspora.A",1
"528","cell pole","V.polyspora.A",1.43665940615709e-05
"529","cell projection","V.polyspora.A",1.43665940615709e-05
"530","cell tip","V.polyspora.A",1.43665940615709e-05
"531","cellular bud","V.polyspora.A",0.00131995082976219
"532","cellular bud neck","V.polyspora.A",0.00188890686165586
"533","cellular bud neck septin ring","V.polyspora.A",1
"534","cellular bud neck septin structure","V.polyspora.A",1
"535","clathrin-coated vesicle","V.polyspora.A",1
"536","cleavage apparatus septin structure","V.polyspora.A",1
"537","coated membrane","V.polyspora.A",1
"538","coated vesicle","V.polyspora.A",1
"539","coated vesicle membrane","V.polyspora.A",1
"540","cortical actin cytoskeleton","V.polyspora.A",1.72678366436991e-08
"541","cortical cytoskeleton","V.polyspora.A",1.89632343269473e-08
"542","cytoplasmic ribonucleoprotein granule","V.polyspora.A",1
"543","cytoplasmic side of membrane","V.polyspora.A",1
"544","cytoplasmic vesicle","V.polyspora.A",1
"545","cytoplasmic vesicle membrane","V.polyspora.A",1
"546","cytoskeleton","V.polyspora.A",6.47020013109599e-06
"547","endocytic patch","V.polyspora.A",3.92563599365831e-09
"548","intracellular vesicle","V.polyspora.A",1
"549","mating projection","V.polyspora.A",1.43665940615709e-05
"550","mating projection tip","V.polyspora.A",9.26581397495475e-06
"551","membrane coat","V.polyspora.A",1
"552","membrane microdomain","V.polyspora.A",0.0135547018012936
"553","membrane raft","V.polyspora.A",0.0135547018012936
"554","plasma membrane bounded cell projection","V.polyspora.A",1.43665940615709e-05
"555","plasma membrane protein complex","V.polyspora.A",0.0389562232830715
"556","polysome","V.polyspora.A",1
"557","proton-transporting V-type ATPase complex","V.polyspora.A",0.0230265172593311
"558","proton-transporting two-sector ATPase complex","V.polyspora.A",1
"559","ribonucleoprotein granule","V.polyspora.A",1
"560","septin cytoskeleton","V.polyspora.A",1
"561","septin ring","V.polyspora.A",1
"562","side of membrane","V.polyspora.A",1
"563","site of polarized growth","V.polyspora.A",5.274009072445e-05
"564","spliceosomal tri-snRNP complex","V.polyspora.A",1
"565","transport vesicle membrane","V.polyspora.A",1
"566","vacuolar proton-transporting V-type ATPase complex","V.polyspora.A",0.0230265172593311
"567","vesicle","V.polyspora.A",1
"568","vesicle coat","V.polyspora.A",1
"569","vesicle membrane","V.polyspora.A",1
"570","vesicle tethering complex","V.polyspora.A",1
"571","COPI-coated vesicle","V.polyspora.B",1
"572","COPI-coated vesicle membrane","V.polyspora.B",1
"573","Golgi apparatus","V.polyspora.B",1
"574","Golgi membrane","V.polyspora.B",1
"575","Golgi-associated vesicle","V.polyspora.B",1
"576","Golgi-associated vesicle membrane","V.polyspora.B",1
"577","P-body","V.polyspora.B",1
"578","U4/U6 x U5 tri-snRNP complex","V.polyspora.B",1
"579","U6 snRNP","V.polyspora.B",1
"580","actin cortical patch","V.polyspora.B",1
"581","actin cytoskeleton","V.polyspora.B",1
"582","actin filament","V.polyspora.B",1
"583","cell cortex","V.polyspora.B",1
"584","cell division site","V.polyspora.B",1
"585","cell pole","V.polyspora.B",1
"586","cell projection","V.polyspora.B",1
"587","cell tip","V.polyspora.B",1
"588","cellular bud","V.polyspora.B",1
"589","cellular bud neck","V.polyspora.B",1
"590","cellular bud neck septin ring","V.polyspora.B",1
"591","cellular bud neck septin structure","V.polyspora.B",1
"592","clathrin-coated vesicle","V.polyspora.B",1
"593","cleavage apparatus septin structure","V.polyspora.B",1
"594","coated membrane","V.polyspora.B",1
"595","coated vesicle","V.polyspora.B",1
"596","coated vesicle membrane","V.polyspora.B",1
"597","cortical actin cytoskeleton","V.polyspora.B",1
"598","cortical cytoskeleton","V.polyspora.B",1
"599","cytoplasmic ribonucleoprotein granule","V.polyspora.B",1
"600","cytoplasmic side of membrane","V.polyspora.B",1
"601","cytoplasmic vesicle","V.polyspora.B",1
"602","cytoplasmic vesicle membrane","V.polyspora.B",1
"603","cytoskeleton","V.polyspora.B",1
"604","endocytic patch","V.polyspora.B",1
"605","intracellular vesicle","V.polyspora.B",1
"606","mating projection","V.polyspora.B",1
"607","mating projection tip","V.polyspora.B",1
"608","membrane coat","V.polyspora.B",1
"609","membrane microdomain","V.polyspora.B",1
"610","membrane raft","V.polyspora.B",1
"611","plasma membrane bounded cell projection","V.polyspora.B",1
"612","plasma membrane protein complex","V.polyspora.B",1
"613","polysome","V.polyspora.B",1
"614","proton-transporting V-type ATPase complex","V.polyspora.B",1
"615","proton-transporting two-sector ATPase complex","V.polyspora.B",1
"616","ribonucleoprotein granule","V.polyspora.B",1
"617","septin cytoskeleton","V.polyspora.B",1
"618","septin ring","V.polyspora.B",1
"619","side of membrane","V.polyspora.B",1
"620","site of polarized growth","V.polyspora.B",1
"621","spliceosomal tri-snRNP complex","V.polyspora.B",1
"622","transport vesicle membrane","V.polyspora.B",1
"623","vacuolar proton-transporting V-type ATPase complex","V.polyspora.B",1
"624","vesicle","V.polyspora.B",1
"625","vesicle coat","V.polyspora.B",1
"626","vesicle membrane","V.polyspora.B",1
"627","vesicle tethering complex","V.polyspora.B",1
"628","COPI-coated vesicle","K.africana.A",1
"629","COPI-coated vesicle membrane","K.africana.A",1
"630","Golgi apparatus","K.africana.A",1
"631","Golgi membrane","K.africana.A",1
"632","Golgi-associated vesicle","K.africana.A",1
"633","Golgi-associated vesicle membrane","K.africana.A",0.0227689026034438
"634","P-body","K.africana.A",1
"635","U4/U6 x U5 tri-snRNP complex","K.africana.A",1
"636","U6 snRNP","K.africana.A",1
"637","actin cortical patch","K.africana.A",1.28671206725268e-11
"638","actin cytoskeleton","K.africana.A",1.28671206725268e-11
"639","actin filament","K.africana.A",1
"640","cell cortex","K.africana.A",2.39866011115429e-11
"641","cell division site","K.africana.A",0.0164360121664134
"642","cell pole","K.africana.A",4.90671535025948e-09
"643","cell projection","K.africana.A",5.0504460241895e-09
"644","cell tip","K.africana.A",4.90671535025948e-09
"645","cellular bud","K.africana.A",3.58586605280179e-05
"646","cellular bud neck","K.africana.A",0.0011773614088017
"647","cellular bud neck septin ring","K.africana.A",0.011672460729588
"648","cellular bud neck septin structure","K.africana.A",0.00453913281947331
"649","clathrin-coated vesicle","K.africana.A",1
"650","cleavage apparatus septin structure","K.africana.A",0.00453913281947331
"651","coated membrane","K.africana.A",1
"652","coated vesicle","K.africana.A",1
"653","coated vesicle membrane","K.africana.A",1
"654","cortical actin cytoskeleton","K.africana.A",1.3798575183065e-11
"655","cortical cytoskeleton","K.africana.A",2.11476159534708e-11
"656","cytoplasmic ribonucleoprotein granule","K.africana.A",1
"657","cytoplasmic side of membrane","K.africana.A",1
"658","cytoplasmic vesicle","K.africana.A",1
"659","cytoplasmic vesicle membrane","K.africana.A",1
"660","cytoskeleton","K.africana.A",9.19322777814816e-09
"661","endocytic patch","K.africana.A",2.13515335339754e-12
"662","intracellular vesicle","K.africana.A",1
"663","mating projection","K.africana.A",4.19879968833994e-09
"664","mating projection tip","K.africana.A",1.35108290670589e-09
"665","membrane coat","K.africana.A",1
"666","membrane microdomain","K.africana.A",0.00453913281947331
"667","membrane raft","K.africana.A",0.00453913281947331
"668","plasma membrane bounded cell projection","K.africana.A",4.20900055422749e-09
"669","plasma membrane protein complex","K.africana.A",1
"670","polysome","K.africana.A",1
"671","proton-transporting V-type ATPase complex","K.africana.A",1
"672","proton-transporting two-sector ATPase complex","K.africana.A",1
"673","ribonucleoprotein granule","K.africana.A",1
"674","septin cytoskeleton","K.africana.A",0.011672460729588
"675","septin ring","K.africana.A",0.0343510522723832
"676","side of membrane","K.africana.A",1
"677","site of polarized growth","K.africana.A",1.69674309246271e-07
"678","spliceosomal tri-snRNP complex","K.africana.A",1
"679","transport vesicle membrane","K.africana.A",1
"680","vacuolar proton-transporting V-type ATPase complex","K.africana.A",1
"681","vesicle","K.africana.A",1
"682","vesicle coat","K.africana.A",1
"683","vesicle membrane","K.africana.A",1
"684","vesicle tethering complex","K.africana.A",1
"685","COPI-coated vesicle","K.africana.B",1
"686","COPI-coated vesicle membrane","K.africana.B",0.0295399200297473
"687","Golgi apparatus","K.africana.B",1
"688","Golgi membrane","K.africana.B",1
"689","Golgi-associated vesicle","K.africana.B",0.0304290356238755
"690","Golgi-associated vesicle membrane","K.africana.B",0.00615936027023684
"691","P-body","K.africana.B",1
"692","U4/U6 x U5 tri-snRNP complex","K.africana.B",1
"693","U6 snRNP","K.africana.B",1
"694","actin cortical patch","K.africana.B",2.70667003383499e-06
"695","actin cytoskeleton","K.africana.B",5.30780490365106e-08
"696","actin filament","K.africana.B",0.00157228308759376
"697","cell cortex","K.africana.B",0.000123297639912691
"698","cell division site","K.africana.B",1
"699","cell pole","K.africana.B",8.63909303428191e-06
"700","cell projection","K.africana.B",8.63909303428191e-06
"701","cell tip","K.africana.B",8.63909303428191e-06
"702","cellular bud","K.africana.B",0.00632443442876806
"703","cellular bud neck","K.africana.B",0.00632443442876806
"704","cellular bud neck septin ring","K.africana.B",1
"705","cellular bud neck septin structure","K.africana.B",1
"706","clathrin-coated vesicle","K.africana.B",1
"707","cleavage apparatus septin structure","K.africana.B",1
"708","coated membrane","K.africana.B",0.0295399200297473
"709","coated vesicle","K.africana.B",1
"710","coated vesicle membrane","K.africana.B",0.0477553397989562
"711","cortical actin cytoskeleton","K.africana.B",2.0263471113517e-06
"712","cortical cytoskeleton","K.africana.B",2.0263471113517e-06
"713","cytoplasmic ribonucleoprotein granule","K.africana.B",1
"714","cytoplasmic side of membrane","K.africana.B",1
"715","cytoplasmic vesicle","K.africana.B",0.046354508243538
"716","cytoplasmic vesicle membrane","K.africana.B",0.0240530426856253
"717","cytoskeleton","K.africana.B",8.63125428216233e-05
"718","endocytic patch","K.africana.B",2.70667003383499e-06
"719","intracellular vesicle","K.africana.B",0.046354508243538
"720","mating projection","K.africana.B",8.63909303428191e-06
"721","mating projection tip","K.africana.B",5.08188113962295e-06
"722","membrane coat","K.africana.B",0.0295399200297473
"723","membrane microdomain","K.africana.B",0.00598674052237398
"724","membrane raft","K.africana.B",0.00598674052237398
"725","plasma membrane bounded cell projection","K.africana.B",8.63909303428191e-06
"726","plasma membrane protein complex","K.africana.B",1
"727","polysome","K.africana.B",0.0240530426856253
"728","proton-transporting V-type ATPase complex","K.africana.B",0.046354508243538
"729","proton-transporting two-sector ATPase complex","K.africana.B",1
"730","ribonucleoprotein granule","K.africana.B",1
"731","septin cytoskeleton","K.africana.B",1
"732","septin ring","K.africana.B",1
"733","side of membrane","K.africana.B",1
"734","site of polarized growth","K.africana.B",0.000143367383679117
"735","spliceosomal tri-snRNP complex","K.africana.B",1
"736","transport vesicle membrane","K.africana.B",1
"737","vacuolar proton-transporting V-type ATPase complex","K.africana.B",0.046354508243538
"738","vesicle","K.africana.B",0.0477553397989562
"739","vesicle coat","K.africana.B",0.0240530426856253
"740","vesicle membrane","K.africana.B",0.0240530426856253
"741","vesicle tethering complex","K.africana.B",1
"742","COPI-coated vesicle","T.blattae.A",1
"743","COPI-coated vesicle membrane","T.blattae.A",1
"744","Golgi apparatus","T.blattae.A",1
"745","Golgi membrane","T.blattae.A",1
"746","Golgi-associated vesicle","T.blattae.A",1
"747","Golgi-associated vesicle membrane","T.blattae.A",1
"748","P-body","T.blattae.A",1
"749","U4/U6 x U5 tri-snRNP complex","T.blattae.A",1
"750","U6 snRNP","T.blattae.A",1
"751","actin cortical patch","T.blattae.A",1
"752","actin cytoskeleton","T.blattae.A",1
"753","actin filament","T.blattae.A",1
"754","cell cortex","T.blattae.A",1
"755","cell division site","T.blattae.A",1
"756","cell pole","T.blattae.A",1
"757","cell projection","T.blattae.A",1
"758","cell tip","T.blattae.A",1
"759","cellular bud","T.blattae.A",1
"760","cellular bud neck","T.blattae.A",1
"761","cellular bud neck septin ring","T.blattae.A",1
"762","cellular bud neck septin structure","T.blattae.A",1
"763","clathrin-coated vesicle","T.blattae.A",1
"764","cleavage apparatus septin structure","T.blattae.A",1
"765","coated membrane","T.blattae.A",1
"766","coated vesicle","T.blattae.A",1
"767","coated vesicle membrane","T.blattae.A",1
"768","cortical actin cytoskeleton","T.blattae.A",1
"769","cortical cytoskeleton","T.blattae.A",1
"770","cytoplasmic ribonucleoprotein granule","T.blattae.A",1
"771","cytoplasmic side of membrane","T.blattae.A",1
"772","cytoplasmic vesicle","T.blattae.A",1
"773","cytoplasmic vesicle membrane","T.blattae.A",1
"774","cytoskeleton","T.blattae.A",1
"775","endocytic patch","T.blattae.A",1
"776","intracellular vesicle","T.blattae.A",1
"777","mating projection","T.blattae.A",1
"778","mating projection tip","T.blattae.A",1
"779","membrane coat","T.blattae.A",1
"780","membrane microdomain","T.blattae.A",1
"781","membrane raft","T.blattae.A",1
"782","plasma membrane bounded cell projection","T.blattae.A",1
"783","plasma membrane protein complex","T.blattae.A",1
"784","polysome","T.blattae.A",0.00357307828201295
"785","proton-transporting V-type ATPase complex","T.blattae.A",1
"786","proton-transporting two-sector ATPase complex","T.blattae.A",1
"787","ribonucleoprotein granule","T.blattae.A",1
"788","septin cytoskeleton","T.blattae.A",1
"789","septin ring","T.blattae.A",1
"790","side of membrane","T.blattae.A",1
"791","site of polarized growth","T.blattae.A",1
"792","spliceosomal tri-snRNP complex","T.blattae.A",1
"793","transport vesicle membrane","T.blattae.A",1
"794","vacuolar proton-transporting V-type ATPase complex","T.blattae.A",1
"795","vesicle","T.blattae.A",1
"796","vesicle coat","T.blattae.A",1
"797","vesicle membrane","T.blattae.A",1
"798","vesicle tethering complex","T.blattae.A",1
"799","COPI-coated vesicle","T.blattae.B",1
"800","COPI-coated vesicle membrane","T.blattae.B",0.0479220627475619
"801","Golgi apparatus","T.blattae.B",1
"802","Golgi membrane","T.blattae.B",1
"803","Golgi-associated vesicle","T.blattae.B",1
"804","Golgi-associated vesicle membrane","T.blattae.B",0.0119339003924822
"805","P-body","T.blattae.B",0.0279285841269025
"806","U4/U6 x U5 tri-snRNP complex","T.blattae.B",1
"807","U6 snRNP","T.blattae.B",0.0437585214727778
"808","actin cortical patch","T.blattae.B",3.81483827792908e-12
"809","actin cytoskeleton","T.blattae.B",2.61063363384946e-12
"810","actin filament","T.blattae.B",0.0479220627475619
"811","cell cortex","T.blattae.B",8.84232905555684e-11
"812","cell division site","T.blattae.B",1
"813","cell pole","T.blattae.B",8.68358770879939e-09
"814","cell projection","T.blattae.B",8.68358770879939e-09
"815","cell tip","T.blattae.B",8.68358770879939e-09
"816","cellular bud","T.blattae.B",0.000559865103368582
"817","cellular bud neck","T.blattae.B",0.00756627576565826
"818","cellular bud neck septin ring","T.blattae.B",1
"819","cellular bud neck septin structure","T.blattae.B",1
"820","clathrin-coated vesicle","T.blattae.B",1
"821","cleavage apparatus septin structure","T.blattae.B",1
"822","coated membrane","T.blattae.B",1
"823","coated vesicle","T.blattae.B",1
"824","coated vesicle membrane","T.blattae.B",1
"825","cortical actin cytoskeleton","T.blattae.B",3.81483827792908e-12
"826","cortical cytoskeleton","T.blattae.B",5.03114763610823e-12
"827","cytoplasmic ribonucleoprotein granule","T.blattae.B",1
"828","cytoplasmic side of membrane","T.blattae.B",1
"829","cytoplasmic vesicle","T.blattae.B",1
"830","cytoplasmic vesicle membrane","T.blattae.B",1
"831","cytoskeleton","T.blattae.B",1.07839772453e-07
"832","endocytic patch","T.blattae.B",6.5138164680543e-13
"833","intracellular vesicle","T.blattae.B",1
"834","mating projection","T.blattae.B",5.02568104729346e-08
"835","mating projection tip","T.blattae.B",1.96584650400395e-08
"836","membrane coat","T.blattae.B",1
"837","membrane microdomain","T.blattae.B",0.0119339003924822
"838","membrane raft","T.blattae.B",0.0119339003924822
"839","plasma membrane bounded cell projection","T.blattae.B",8.18629158758964e-09
"840","plasma membrane protein complex","T.blattae.B",1
"841","polysome","T.blattae.B",1
"842","proton-transporting V-type ATPase complex","T.blattae.B",1
"843","proton-transporting two-sector ATPase complex","T.blattae.B",1
"844","ribonucleoprotein granule","T.blattae.B",1
"845","septin cytoskeleton","T.blattae.B",1
"846","septin ring","T.blattae.B",1
"847","side of membrane","T.blattae.B",1
"848","site of polarized growth","T.blattae.B",1.04654857500153e-05
"849","spliceosomal tri-snRNP complex","T.blattae.B",1
"850","transport vesicle membrane","T.blattae.B",1
"851","vacuolar proton-transporting V-type ATPase complex","T.blattae.B",1
"852","vesicle","T.blattae.B",0.0306206921275322
"853","vesicle coat","T.blattae.B",0.0437585214727778
"854","vesicle membrane","T.blattae.B",1
"855","vesicle tethering complex","T.blattae.B",1
"856","COPI-coated vesicle","N.dairenensis.A",1
"857","COPI-coated vesicle membrane","N.dairenensis.A",1
"858","Golgi apparatus","N.dairenensis.A",1
"859","Golgi membrane","N.dairenensis.A",1
"860","Golgi-associated vesicle","N.dairenensis.A",1
"861","Golgi-associated vesicle membrane","N.dairenensis.A",1
"862","P-body","N.dairenensis.A",1
"863","U4/U6 x U5 tri-snRNP complex","N.dairenensis.A",1
"864","U6 snRNP","N.dairenensis.A",1
"865","actin cortical patch","N.dairenensis.A",1
"866","actin cytoskeleton","N.dairenensis.A",1
"867","actin filament","N.dairenensis.A",1
"868","cell cortex","N.dairenensis.A",1
"869","cell division site","N.dairenensis.A",1
"870","cell pole","N.dairenensis.A",1
"871","cell projection","N.dairenensis.A",1
"872","cell tip","N.dairenensis.A",1
"873","cellular bud","N.dairenensis.A",1
"874","cellular bud neck","N.dairenensis.A",1
"875","cellular bud neck septin ring","N.dairenensis.A",1
"876","cellular bud neck septin structure","N.dairenensis.A",1
"877","clathrin-coated vesicle","N.dairenensis.A",1
"878","cleavage apparatus septin structure","N.dairenensis.A",1
"879","coated membrane","N.dairenensis.A",1
"880","coated vesicle","N.dairenensis.A",1
"881","coated vesicle membrane","N.dairenensis.A",1
"882","cortical actin cytoskeleton","N.dairenensis.A",1
"883","cortical cytoskeleton","N.dairenensis.A",1
"884","cytoplasmic ribonucleoprotein granule","N.dairenensis.A",1
"885","cytoplasmic side of membrane","N.dairenensis.A",1
"886","cytoplasmic vesicle","N.dairenensis.A",1
"887","cytoplasmic vesicle membrane","N.dairenensis.A",1
"888","cytoskeleton","N.dairenensis.A",1
"889","endocytic patch","N.dairenensis.A",1
"890","intracellular vesicle","N.dairenensis.A",1
"891","mating projection","N.dairenensis.A",1
"892","mating projection tip","N.dairenensis.A",1
"893","membrane coat","N.dairenensis.A",1
"894","membrane microdomain","N.dairenensis.A",1
"895","membrane raft","N.dairenensis.A",1
"896","plasma membrane bounded cell projection","N.dairenensis.A",1
"897","plasma membrane protein complex","N.dairenensis.A",1
"898","polysome","N.dairenensis.A",0.00725186373345997
"899","proton-transporting V-type ATPase complex","N.dairenensis.A",1
"900","proton-transporting two-sector ATPase complex","N.dairenensis.A",1
"901","ribonucleoprotein granule","N.dairenensis.A",1
"902","septin cytoskeleton","N.dairenensis.A",1
"903","septin ring","N.dairenensis.A",1
"904","side of membrane","N.dairenensis.A",1
"905","site of polarized growth","N.dairenensis.A",1
"906","spliceosomal tri-snRNP complex","N.dairenensis.A",1
"907","transport vesicle membrane","N.dairenensis.A",1
"908","vacuolar proton-transporting V-type ATPase complex","N.dairenensis.A",1
"909","vesicle","N.dairenensis.A",1
"910","vesicle coat","N.dairenensis.A",1
"911","vesicle membrane","N.dairenensis.A",1
"912","vesicle tethering complex","N.dairenensis.A",1
"913","COPI-coated vesicle","N.dairenensis.B",0.0474213247271466
"914","COPI-coated vesicle membrane","N.dairenensis.B",0.0196877352239579
"915","Golgi apparatus","N.dairenensis.B",0.0196877352239579
"916","Golgi membrane","N.dairenensis.B",0.00300929096356874
"917","Golgi-associated vesicle","N.dairenensis.B",0.0196877352239579
"918","Golgi-associated vesicle membrane","N.dairenensis.B",0.00414322782279925
"919","P-body","N.dairenensis.B",1
"920","U4/U6 x U5 tri-snRNP complex","N.dairenensis.B",1
"921","U6 snRNP","N.dairenensis.B",1
"922","actin cortical patch","N.dairenensis.B",1.22530716896747e-10
"923","actin cytoskeleton","N.dairenensis.B",1.85374416534241e-10
"924","actin filament","N.dairenensis.B",1
"925","cell cortex","N.dairenensis.B",7.62591873586216e-09
"926","cell division site","N.dairenensis.B",1
"927","cell pole","N.dairenensis.B",2.19277665183506e-05
"928","cell projection","N.dairenensis.B",2.19277665183506e-05
"929","cell tip","N.dairenensis.B",2.19277665183506e-05
"930","cellular bud","N.dairenensis.B",0.0296025715536112
"931","cellular bud neck","N.dairenensis.B",1
"932","cellular bud neck septin ring","N.dairenensis.B",1
"933","cellular bud neck septin structure","N.dairenensis.B",1
"934","clathrin-coated vesicle","N.dairenensis.B",1
"935","cleavage apparatus septin structure","N.dairenensis.B",1
"936","coated membrane","N.dairenensis.B",0.0196877352239579
"937","coated vesicle","N.dairenensis.B",0.0421229617109808
"938","coated vesicle membrane","N.dairenensis.B",0.0296025715536112
"939","cortical actin cytoskeleton","N.dairenensis.B",6.31710364563101e-10
"940","cortical cytoskeleton","N.dairenensis.B",8.08590184095217e-10
"941","cytoplasmic ribonucleoprotein granule","N.dairenensis.B",1
"942","cytoplasmic side of membrane","N.dairenensis.B",1
"943","cytoplasmic vesicle","N.dairenensis.B",1
"944","cytoplasmic vesicle membrane","N.dairenensis.B",0.0137856853065206
"945","cytoskeleton","N.dairenensis.B",5.03346809485588e-06
"946","endocytic patch","N.dairenensis.B",1.22530716896747e-10
"947","intracellular vesicle","N.dairenensis.B",1
"948","mating projection","N.dairenensis.B",2.19277665183506e-05
"949","mating projection tip","N.dairenensis.B",1.28695194103961e-05
"950","membrane coat","N.dairenensis.B",0.0196877352239579
"951","membrane microdomain","N.dairenensis.B",0.0241533966083123
"952","membrane raft","N.dairenensis.B",0.0241533966083123
"953","plasma membrane bounded cell projection","N.dairenensis.B",2.19277665183506e-05
"954","plasma membrane protein complex","N.dairenensis.B",0.0474213247271466
"955","polysome","N.dairenensis.B",1
"956","proton-transporting V-type ATPase complex","N.dairenensis.B",0.0296025715536112
"957","proton-transporting two-sector ATPase complex","N.dairenensis.B",1
"958","ribonucleoprotein granule","N.dairenensis.B",1
"959","septin cytoskeleton","N.dairenensis.B",1
"960","septin ring","N.dairenensis.B",1
"961","side of membrane","N.dairenensis.B",1
"962","site of polarized growth","N.dairenensis.B",0.00489184009674161
"963","spliceosomal tri-snRNP complex","N.dairenensis.B",1
"964","transport vesicle membrane","N.dairenensis.B",1
"965","vacuolar proton-transporting V-type ATPase complex","N.dairenensis.B",0.0296025715536112
"966","vesicle","N.dairenensis.B",1
"967","vesicle coat","N.dairenensis.B",0.0157275006534333
"968","vesicle membrane","N.dairenensis.B",0.0137856853065206
"969","vesicle tethering complex","N.dairenensis.B",0.00432625888240237
"970","COPI-coated vesicle","K.naganishii.A",1
"971","COPI-coated vesicle membrane","K.naganishii.A",1
"972","Golgi apparatus","K.naganishii.A",1
"973","Golgi membrane","K.naganishii.A",1
"974","Golgi-associated vesicle","K.naganishii.A",1
"975","Golgi-associated vesicle membrane","K.naganishii.A",1
"976","P-body","K.naganishii.A",1
"977","U4/U6 x U5 tri-snRNP complex","K.naganishii.A",1
"978","U6 snRNP","K.naganishii.A",1
"979","actin cortical patch","K.naganishii.A",1.53890350069069e-08
"980","actin cytoskeleton","K.naganishii.A",8.45317715229057e-08
"981","actin filament","K.naganishii.A",1
"982","cell cortex","K.naganishii.A",7.71360640225444e-07
"983","cell division site","K.naganishii.A",1
"984","cell pole","K.naganishii.A",2.205517222767e-05
"985","cell projection","K.naganishii.A",2.205517222767e-05
"986","cell tip","K.naganishii.A",2.205517222767e-05
"987","cellular bud","K.naganishii.A",0.00668513847369641
"988","cellular bud neck","K.naganishii.A",0.00251018502200948
"989","cellular bud neck septin ring","K.naganishii.A",1
"990","cellular bud neck septin structure","K.naganishii.A",1
"991","clathrin-coated vesicle","K.naganishii.A",0.0296529853700953
"992","cleavage apparatus septin structure","K.naganishii.A",1
"993","coated membrane","K.naganishii.A",1
"994","coated vesicle","K.naganishii.A",1
"995","coated vesicle membrane","K.naganishii.A",1
"996","cortical actin cytoskeleton","K.naganishii.A",5.02930376546238e-08
"997","cortical cytoskeleton","K.naganishii.A",5.07602089033774e-08
"998","cytoplasmic ribonucleoprotein granule","K.naganishii.A",1
"999","cytoplasmic side of membrane","K.naganishii.A",1
"1000","cytoplasmic vesicle","K.naganishii.A",0.0119624015635464
"1001","cytoplasmic vesicle membrane","K.naganishii.A",0.0498447740016382
"1002","cytoskeleton","K.naganishii.A",9.8653749664614e-06
"1003","endocytic patch","K.naganishii.A",4.68485883682454e-10
"1004","intracellular vesicle","K.naganishii.A",0.0119624015635464
"1005","mating projection","K.naganishii.A",2.205517222767e-05
"1006","mating projection tip","K.naganishii.A",1.76365252721784e-05
"1007","membrane coat","K.naganishii.A",1
"1008","membrane microdomain","K.naganishii.A",1
"1009","membrane raft","K.naganishii.A",1
"1010","plasma membrane bounded cell projection","K.naganishii.A",2.205517222767e-05
"1011","plasma membrane protein complex","K.naganishii.A",0.0107546948642051
"1012","polysome","K.naganishii.A",0.0208397947066845
"1013","proton-transporting V-type ATPase complex","K.naganishii.A",1
"1014","proton-transporting two-sector ATPase complex","K.naganishii.A",1
"1015","ribonucleoprotein granule","K.naganishii.A",1
"1016","septin cytoskeleton","K.naganishii.A",1
"1017","septin ring","K.naganishii.A",1
"1018","side of membrane","K.naganishii.A",1
"1019","site of polarized growth","K.naganishii.A",0.000112549339251586
"1020","spliceosomal tri-snRNP complex","K.naganishii.A",1
"1021","transport vesicle membrane","K.naganishii.A",1
"1022","vacuolar proton-transporting V-type ATPase complex","K.naganishii.A",1
"1023","vesicle","K.naganishii.A",0.0124137188629921
"1024","vesicle coat","K.naganishii.A",1
"1025","vesicle membrane","K.naganishii.A",0.0498447740016382
