Gene,ORF,c1536,r1536
YGR261C,APL6,7,28
YPL195W,APL5,7,30
Border,Border,7,32
Border,Border,9,2
YKR038C,KAE1,9,4
YKR023W,YKR023W,9,6
YKR092C,SRP40,9,8
YHR110W,ERP5,9,10
YHL002W,HSE1,9,12
YNR006W,VPS27,9,14
YLR336C,SGD1,9,16
YOL061W,PRS5,9,18
YHL011C,PRS3,9,20
YHR042W,NCP1,9,22
YML120C,NDI1,9,24
YNL295W,YNL295W,9,26
YHR012W,VPS29,9,28
YOR132W,VPS17,9,30
Border,Border,9,32
Border,Border,11,2
YPL170W,DAP1,11,4
YNL110C,NOP15,11,6
YLR275W,SMD2,11,8
YHR063C,PAN5,11,10
YPR095C,SYT1,11,12
YPR189W,REP2,11,14
YHR074W,QNS1,11,16
YNL248C,RPA49,11,18
YMR290C,HAS1,11,20
YOR341W,RPA190,11,22
YOR340C,RPA43,11,24
YOR004W,UTP23,11,26
YPL127C,HHO1,11,28
YHR098C,SFB3,11,30
Border,Border,11,32
Border,Border,13,2
YHR104W,GRE3,13,4
YOR109W,INP53,13,6
YIL128W,MET18,13,8
YLR450W,HMG2,13,10
YLL021W,SPA2,13,12
YOR316C-A,YOR316C-A,13,14
YPL070W,MUK1,13,16
YMR112C,MED11,13,18
YJL164C,TPK1,13,20
YMR239C,RNT1,13,22
YMR016C,SOK2,13,24
YPL203W,TPK2,13,26
YKL062W,MSN4,13,28
YIR003W,AIM21,13,30
Border,Border,13,32
Border,Border,15,2
YNR049C,MSO1,15,4
YLR421C,RPN13,15,6
YMR047C,NUP116,15,8
YJL061W,NUP82,15,10
YJL005W,CYR1,15,12
YNR030W,ALG12,15,14
YKL057C,NUP120,15,16
YJL068C,YJL068C,15,18
YPR110C,RPC40,15,20
YOL081W,IRA2,15,22
YOL110W,SHR5,15,24
YMR296C,LCB1,15,26
YPR139C,LOA1,15,28
YMR152W,YIM1,15,30
Border,Border,15,32
Border,Border,17,2
YNL287W,SEC21,17,4
YOR120W,GCY1,17,6
YMR004W,MVP1,17,8
YPL045W,VPS16,17,10
YOR195W,SLK19,17,12
YOR162C,YRR1,17,14
YOR009W,TIR4,17,16
YJR060W,CBF1,17,18
YNL290W,RFC3,17,20
YKL101W,HSL1,17,22
YOR360C,PDE2,17,24
YML101C,CUE4,17,26
YNR075C-A,YNR075C-A,17,28
YJR133W,XPT1,17,30
Border,Border,17,32
Border,Border,19,2
YKL002W,DID4,19,4
YKR035W-A,DID2,19,6
YKL041W,VPS24,19,8
YNL281W,HCH1,19,10
YKL204W,EAP1,19,12
YKL067W,YNK1,19,14
YPL091W,GLR1,19,16
YNL121C,TOM70,19,18
YPL259C,APM1,19,20
YOR116C,RPO31,19,22
YKL190W,CNB1,19,24
YPL043W,NOP4,19,26
YPL012W,RRP12,19,28
YNL265C,IST1,19,30
Border,Border,19,32
Border,Border,21,2
YLR258W,GSY2,21,4
YPR048W,TAH18,21,6
YKR097W,PCK1,21,8
YML093W,UTP14,21,10
YNL087W,TCB2,21,12
YLR221C,RSA3,21,14
YLL043W,FPS1,21,16
YNR031C,SSK2,21,18
YLR022C,SDO1,21,20
YLR345W,YLR345W,21,22
YNL180C,RHO5,21,24
YOR133W,EFT1,21,26
YPR173C,VPS4,21,28
YMR229C,RRP5,21,30
Border,Border,21,32
Border,Border,23,2
YLR260W,LCB5,23,4
YLR245C,CDD1,23,6
YPR184W,REP2,23,8
YML056C,IMD4,23,10
YLR432W,IMD3,23,12
YLR319C,BUD6,23,14
YLR324W,PEX30,23,16
YMR266W,RSN1,23,18
YOR014W,RTS1,23,20
YPR137W,RRP9,23,22
YMR261C,TPS3,23,24
YOR098C,NUP1,23,26
YLR397C,AFG2,23,28
YNL088W,TOP2,23,30
Border,Border,23,32
Border,Border,25,2
YNL167C,SKO1,25,4
YML075C,HMG1,25,6
YML106W,URA5,25,8
YML035C,AMD1,25,10
YML051W,GAL80,25,12
YOR086C,TCB1,25,14
YMR070W,MOT3,25,16
YMR167W,MLH1,25,18
YMR096W,SNZ1,25,20
YNR034W,SOL1,25,22
YNL247W,YNL247W,25,24
YPL178W,CBC2,25,26
