,PPI_partner.Gene,PPI_partner.ORF,Ortholog.Species,State,PPI.NA,Ortholog.GeneA,Ortholog.GeneB,Ortholog.GeneAnc,PPI.Ortholog.GeneA,PPI.Ortholog.GeneB,PPI.Ortholog.Anc,PPI.A_div_B,PPI.Scer,PPI.Vehicle,MaxPPI,AvePPI,RelPPI,RelPPIMax
13,YLR028C,ADE16,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,767.5,5844,NA,0.13133128,4050,3466.5,5844,3305.75,0.816234568,1.442962963
14,YMR120C,ADE17,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,55046,119830,NA,0.459367437,87078,5782,119830,87438,1.004134224,1.376122557
474,YKL117W,SBA1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,139593.25,132210,NA,1.055844868,118675.5,4578.5,139593.25,135901.625,1.14515317,1.176260054
16,YMR120C,ADE17,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,101764.5,63638.75,NA,1.599096462,87078,5782,101764.5,82701.625,0.949741898,1.168659133
17,YMR120C,ADE17,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,25395.75,119524.5,NA,0.212473175,87078,5782,119524.5,72460.125,0.832128953,1.372614208
18,YMR120C,ADE17,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,121967.25,110382.5,NA,1.104950966,87078,5782,121967.25,116174.875,1.334147259,1.400666644
19,YMR120C,ADE17,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,9659.5,133692,NA,0.072251892,87078,5782,133692,71675.75,0.823121225,1.535313168
20,YMR300C,ADE4,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5339.5,43525.5,NA,0.122675213,5494,NA,43525.5,24432.5,4.447124135,7.922369858
21,YMR300C,ADE4,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,33787.75,12589.75,NA,2.68375067,5494,NA,33787.75,23188.75,4.220740808,6.149936294
22,YMR300C,ADE4,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,12288.75,7548.25,NA,1.628026364,5494,NA,12288.75,9918.5,1.805333091,2.236758282
23,YMR300C,ADE4,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,1,35570.5,NA,2.81E-05,5494,NA,35570.5,17785.75,3.237304332,6.474426647
15,YMR120C,ADE17,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,133318,109248.5,NA,1.220318814,87078,5782,133318,121283.25,1.392811617,1.531018168
25,YMR300C,ADE4,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,265.5,11851.5,NA,0.022402228,5494,NA,11851.5,6058.5,1.102748453,2.15717146
26,YMR300C,ADE4,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,7525.5,33054.5,NA,0.227669455,5494,NA,33054.5,20290,3.693119767,6.016472515
27,YGR061C,ADE6,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3814.25,22708.25,NA,0.167967589,13216.5,4892.25,22708.25,13261.25,1.003385919,1.718174252
364,YIR006C,PAN1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,111744.75,22138,NA,5.047644322,51756.25,4707.5,111744.75,66941.375,1.293396933,2.159058085
29,YGR061C,ADE6,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,2266.5,10594.5,NA,0.213931757,13216.5,4892.25,10594.5,6430.5,0.486550902,0.801611622
30,YGR061C,ADE6,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5625.5,33715.25,NA,0.166853279,13216.5,4892.25,33715.25,19670.375,1.488319525,2.55099686
31,YGR061C,ADE6,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,15819.5,7484.75,NA,2.113564247,13216.5,4892.25,15819.5,11652.125,0.881634699,1.196950781
32,YGR061C,ADE6,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,5852.25,30851.5,NA,0.189690939,13216.5,4892.25,30851.5,18351.875,1.388557863,2.334316952
33,YGR061C,ADE6,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,33247.5,23851.75,NA,1.393922878,13216.5,4892.25,33247.5,28549.625,2.160150191,2.515605493
34,YDR226W,ADK1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,3151,23264.5,NA,0.135442412,3903.5,2208.5,23264.5,13207.75,3.38356603,5.959907775
35,YDR226W,ADK1,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,3765.5,7196.25,NA,0.523258642,3903.5,2208.5,7196.25,5480.875,1.404092481,1.843537851
80,YBR234C,ARC40,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,95344.5,59490.25,NA,1.602691197,50727.75,5616.25,95344.5,77417.375,1.526134611,1.879533391
37,YDR226W,ADK1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,19208.5,6478.25,NA,2.965075445,3903.5,2208.5,19208.5,12843.375,3.290220315,4.920840272
38,YDR226W,ADK1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,8791.75,2409.5,NA,3.648786055,3903.5,2208.5,8791.75,5600.625,1.434770078,2.252273601
39,YIR003W,AIM21,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,3808.5,8018,NA,0.474993764,5863,NA,8018,5913.25,1.008570698,1.36755927
40,YIR003W,AIM21,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,4743.5,7690,NA,0.616840052,5863,NA,7690,6216.75,1.060336005,1.311615214
41,YIR003W,AIM21,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,10195.75,684.5,NA,14.89517896,5863,NA,10195.75,5440.125,0.927873955,1.738998806
42,YIR003W,AIM21,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,798.5,10894.5,NA,0.073293864,5863,NA,10894.5,5846.5,0.997185741,1.858178407
514,YNL243W,SLA2,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,95212.75,17791.25,NA,5.351661631,43434,4943.5,95212.75,56502,1.300870286,2.192124833
44,YDR264C,AKR1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4888.5,4138.75,NA,1.18115373,6342.75,6065.75,4888.5,4513.625,0.711619566,0.770722478
45,YDR264C,AKR1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5089.25,4651.5,NA,1.094109427,6342.75,6065.75,5089.25,4870.375,0.767864885,0.802372788
