"ArrayGene","QueryGene","Sample_Plate","Row1536","Col1536","Dox","YPD","CompScore"
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,4,12,37392,48274,0.774578448025852
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,6,42,47300,57948.5,0.816242007989853
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,10,8,39410.5,48944.5,0.805207939605063
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,10,36,48661.5,57778,0.842215029942193
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,14,36,46107.5,55628.5,0.828846724251058
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,18,28,43212.5,55512.5,0.778428281918487
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,20,32,47647,55607,0.856852554534501
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,20,40,47484,61764,0.768797357684088
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,22,20,44334,55421.5,0.799942260675009
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,24,40,46505,55031.5,0.845061464797434
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",2,30,26,43112,59114,0.729302703251345
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,4,12,36315,44861,0.809500456967076
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,6,42,41698.5,51198.5,0.814447688897136
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,10,8,37188,47216,0.787614368010844
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,10,36,43904,53512,0.820451487516819
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,14,36,44345.5,54160,0.818786927621861
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,18,28,42241.5,51183.5,0.82529526116815
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,20,32,43180.5,51736.5,0.83462352497753
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,20,40,44712.5,53179,0.84079241805976
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,22,20,40750,51402.5,0.792762997908662
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,24,40,42539.5,52052,0.817250057634673
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",3,30,26,41897,54223.5,0.772672365302867
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,4,12,35851.5,44718,0.801724137931034
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,6,42,40791.5,50655,0.805280821241733
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,10,8,39601.5,44308.5,0.893767561528826
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,10,36,45619,51355.5,0.888298234853132
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,14,36,44113,52789,0.835647578093921
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,18,28,41287,49199.5,0.839175194869867
